SID: 9430001 - https://amazon.co.uk - Código: 200, Descrição: Sucesso
SID: 9430002 - https://amazon.de - Código: 200, Descrição: Sucesso
SID: 9430003 - https://amazon.in - Código: 200, Descrição: Sucesso
SID: 9430004 - https://aws.amazon.com - Código: 200, Descrição: Sucesso
SID: 9430008 - https://s3.amazonaws.com - Código: 200, Descrição: Sucesso
SID: 9430012 - https://drive.amazonaws.com - Código: 200, Descrição: Sucesso
SID: 9650351 - https://primevideo.com - Código: 200, Descrição: Sucesso
SID: 9391001 - https://api.sieg.com - Código: 200, Descrição: Sucesso
SID: 9391002 - https://app.sieg.com - Código: 200, Descrição: Sucesso
SID: 9391003 - https://auth.sieg.com - Código: 200, Descrição: Sucesso
SID: 9391014 - https://cofre.sieg.com - Código: 200, Descrição: Sucesso
SID: 9391016 - https://sieg.com - Código: 200, Descrição: Sucesso
SID: 9391017 - https://sieg.zendesk.com - Código: 200, Descrição: Sucesso
SID: 9391018 - https://up.sieg.com - Código: 200, Descrição: Sucesso
SID: 9391031 - https://www.nfe.fazenda.gov.br - Código: 200, Descrição: Sucesso
SID: 9391033 - https://www.cte.fazenda.gov.br - Código: 200, Descrição: Sucesso
SID: 9391038 - https://www.sefaz.rs.gov.br - Código: 200, Descrição: Sucesso
SID: 9391042 - https://www.dominioatendimento.com - Código: 200, Descrição: Sucesso
SID: 9391044 - https://suporte.dominioatendimento.com - Código: 200, Descrição: Sucesso
SID: 9391046 - https://download.dominiosistemas.com.br - Código: 200, Descrição: Sucesso
SID: 9391048 - https://sgd.dominiosistemas.com.br - Código: 200, Descrição: Sucesso
SID: 9910000 - https://drive.google.com - Código: 200, Descrição: Sucesso
SID: 9910001 - https://onedrive.live.com - Código: 200, Descrição: Sucesso
SID: 9910002 - https://mega.nz - Código: 200, Descrição: Sucesso
SID: 9910003 - https://dropbox.com - Código: 200, Descrição: Sucesso
SID: 9910004 - https://cloud.google.com - Código: 200, Descrição: Sucesso
SID: 9910006 - https://www.box.com - Código: 200, Descrição: Sucesso
SID: 9910007 - https://icloud.com - Código: 200, Descrição: Sucesso
SID: 9910008 - https://adrive.com - Código: 200, Descrição: Sucesso
SID: 9910009 - https://huaweicloud.com - Código: 200, Descrição: Sucesso
SID: 9350077 - https://sourceforge.net - Código: 200, Descrição: Sucesso
SID: 9450006 - https://google-analytics.com - Código: 200, Descrição: Sucesso
SID: 9450009 - https://googlesyndication.com - Código: 200, Descrição: Sucesso
SID: 9450017 - https://about.google - Código: 200, Descrição: Sucesso
SID: 9450018 - https://aboutme.google.com - Código: 200, Descrição: Sucesso
SID: 9450019 - https://account.google.com - Código: 200, Descrição: Sucesso
SID: 9450020 - https://accounts.google.com - Código: 200, Descrição: Sucesso
SID: 9450021 - https://activity.google.com - Código: 200, Descrição: Sucesso
SID: 9450022 - https://admanager.google.com - Código: 200, Descrição: Sucesso
SID: 9450023 - https://admin.google.com - Código: 200, Descrição: Sucesso
SID: 9450024 - https://admob.google.com - Código: 200, Descrição: Sucesso
SID: 9450025 - https://ads-developers.googleblog.com - Código: 200, Descrição: Sucesso
